title,heading,content
出差管理辦法,目的,為了使本公司員工因公務需要出差時，能制度化與合理化的管理。
出差管理辦法,範圍,本公司的各個部門員工，如果因為業務需要需要出差到國內外去接洽業務，如果需要申請誤餐費、住宿費或大眾捷運費等費用，都必須按照出差管理辦法的規定辦理。
出差管理辦法,管理單位,"人事總務單位負責擬定及管理本公司出差管理辦法，並代辦交通、住宿及預支旅費等作業。
單位主管則負責審核員工的國內外出差申請。
財務單位負責申請費用發放及結算，以及憑證審查。
管理部負責本辦法之修訂及管理。"
出差管理辦法,相關文件,出勤給假管理辦法(YL-HR-02-01)
出差管理辦法,使用表單,差旅報告單(HR-01-01)
出差管理辦法,申請方式,申請流程為在出差前，申請人需填寫請假單，並選擇假別為「出差」。申請需經單位主管審核通過，然後送交人事總務單位審核。如果申請人需要委託人事總務單位代辦交通、住宿、預支申請或其他事項，則需要提前三個工作日通知人事總務單位。申請出差假必須經單位主管審核並核准後方可出發。假期申請和管理則遵循員工『出勤給假管理辦法』的相關規定。
出差管理辦法,交通費用,"出差時如果主辦單位提供膳宿及交通，則不能申報相關費用。
在國內出差時，乘車主要以搭乘大眾運輸工具為主。如果使用自己的交通工具，油資費以每公里6元計算，高速公路過路費則需要提供明細補助，並於返回公司三個工作日內填寫「差旅報告單」申報。
在國外出差時，乘坐飛機的等級和職務級別有關。總監、協理、副總等職務級別以上的人員應該搭乘商務艙以上的等級；經理、副理、主任專員、主任工程師應該搭乘菁英艙，如果無菁英艙，則訂經濟艙；資深專員、資深工程師、專員、工程師、助理、助理工程師則應該搭乘經濟艙。乘車方面不分職等，按實際需要搭乘即可。"
出差管理辦法,住宿費用,如果是國內或國外出差，應該依據行程安排，可以通知人事總務單位代為預訂飯店房間。住宿費用的標準則是根據當地的物價和合理性來判斷。
出差管理辦法,旅遊平安保險,對於前往國外出差的員工，公司將會向旅遊保險公司投保旅遊平安保險，保險金額為新台幣500萬元。
出差管理辦法,出差津貼申請,"在出差前，如果需要出差人預先支付旅費，則出差人需要在出差前三天通知財務部門並提交申請。根據原則，財務部門會以美元支付申請人。如果需要將支付貨幣兌換成其他貨幣，出差人可以通知財務部門代為處理。

國內津貼不分地區，每人每日金額依據單據金額報支，每日以 600 元為限。國外津貼分為不同地區，包括香港、澳門、北美地區、歐洲、紐澳地區、日本及已開發國家，每人每日提供美金 70 元津貼；中國大陸、東南亞、非洲、中南美洲及開發中國家，每人每日提供美金 50 元津貼。

每日的出差津貼包括每日的個人膳食費用和其他個人相關費用。任何因公務產生的通訊費用和當地交通費用都可以根據實際報銷金額報帳，每日的津貼依據以上表格所列的地區定額發放。出差結束後，不需要歸還津貼。
對於國外出差，出發日和返國日的津貼計算方式有所不同。出發當天班機起飛時間在16:00前，則津貼以全日計算，16:00後則以半日計算；返國當天班機抵達時間在中午12:00前，則以半日計算，中午12:00後則以全日計算。如遇班機延誤，需提供相關的延誤證明影本，才能辦理國外津貼的補發程序。
在一些特殊情況下，例如因工作需要長期駐點國外或其他特殊情況，津貼可能需要進行另外的協商與訂定。
當申請人完成出差並回到公司后，必須在三個工作日內填寫完整的「差旅報告單」，並附上相關的憑證。然後，申請人必須經由原本核准出差的權責主管再次核准後，才能交給財務單位進行應補旅費的作業。
在出差期間，如果因為業務需求需要與客戶發生交際費用，可以提出請領申請。但必須詳述相關原因，並附上相關憑證，例如發票等，經由主管審核後，才能列入交際費用請領的款項之中。"
出差管理辦法,其他注意事項,"出差人在確認職務代理人後，必須清楚告知代理人所需負責的工作內容，以確保公司運作順暢。
出差人在出差期間必須告知職務代理人其聯絡地點及緊急聯絡方式，以確保聯繫暢通。
若出差行程有任何變更，必須事先向單位主管報告並獲得核准，否則也應該儘快提出報告。
出差期間如遇緊急事項，出差人應立即通知單位主管。
國外出差人應適時地以電話或通訊軟體向單位主管報告行程和近況。"
出差管理辦法,生效時間,本辦法自發布日施行，修正時亦同。
員工福利規範,目的,為使公司的正職員工能夠更加清晰地了解員工福利制度並依據福利補助項目和補助方式進行操作，特制定了這份規範。這樣一來，公司內的員工將能夠更好地受益於公司所提供的福利待遇，並且能夠在福利補助的相關事項上更加有所依循。這份規範旨在確保公司內的正職員工能夠充分享受到合理且公平的福利補助待遇。
員工福利規範,範圍,所有本公司的正職員工，包括薪資獎金以外的福利和補助項目，都會按照本管理辦法進行處理。而約聘、兼職員工和工讀生的薪資福利則會根據簽訂的合約內容來執行。
員工福利規範,管理單位,"人事總務單位負責協助辦理員工團體保險事宜，包括本管理辦法的起草和執行等相關作業。
財務單位負責發放款項的相關作業。"
員工福利規範,相關文件,弈樂科技員工儲蓄會章程
員工福利規範,使用表單,育兒津貼申請表(HR-04-01)
員工福利規範,團體保險,公司為員工提供除基本勞工健康保險外的其他保障。具體而言，公司將擔任保險的要保人，而員工本人（或其法定繼承人）將成為受益人，且保費將由公司全額負擔。此外，人事單位將根據員工的報到日期、規定的投保內容或離職日期，主動為員工辦理投保和退保手續。
員工福利規範,禮金補助,"禮金補助申請手續由員工檢附憑證，送交人事總務單位依照項目代為辦理。
補助項目：
結婚禮金：金額為12,000元，申請人為本人。需檢附結婚喜帖正本或結婚證書影本。
生日禮金：金額為1,000元，申請人為本人。無須憑證，生日當月發放。
彌月禮金：金額為3,600元，申請人為子女。需檢附出生證明影本。
住院補助金：金額為3,600元，申請人為本人。患者住院四天以上即可申請，需檢附醫院證明正本。每個單一事件只補助一次。
喪葬奠儀：金額及申請人因關係不同而異。本人、配偶、父母及配偶父母有花圈或花籃時，可申請補助。金額及憑證如下：
- 本人：金額為51,000元，需檢附訃文或死亡證明書影本。
- 父母：金額為11,000元，需檢附訃文或死亡證明書影本。
- 配偶：金額為21,000元，需檢附訃文或死亡證明書影本。
- 子女：金額為5,100元，需檢附訃文或死亡證明書影本。
- (外)祖父母：金額為2,100元，需檢附訃文或死亡證明書影本。
- 配偶父母：金額為11,000元，需檢附訃文或死亡證明書影本。
- 配偶(外)祖父母：金額為2,100元，需檢附訃文或死亡證明書影本。
根據我國稅法規定，前述補助金額將於給付時列入員工個人年度薪資所得。若需要代扣二代健保費用，將依規定自該年度薪資中代為扣繳。"
員工福利規範,部門聚會,"目標: 為促進各部門/課別員工情誼而舉辦。
時間: 每月限各部門/課別請領一次，若未舉辦則不予請領，最多可累積3個月。
地點: 各部門/課別由自行決定。
預算: 以部門/課別為單位，每人每月補助金額為新台幣500元整。
實施辦法：
- 由各部門/課別人員自行決定，在非上班時間以餐敘或其他方式舉辦。
- 該部門/課別必須三分之二(含)以上人員出席，由聚餐主辦人依實際出席人數請款。
- 需配合部門舉辦方式及時間，如未出席部門聚會視同放棄補助，不得兌現。"
員工福利規範,假日出勤誤餐費,"目的: 針對因公司營運作業需求而需要在假日出勤的員工，提供申請補助。
預算: 以實報實銷方式，每人每餐補助金額限制在新台幣150元。
實施辦法: 補助項目為午餐和晚餐，員工需自行檢附憑證，並在限額內進行實報實銷。"
員工福利規範,員工健康檢查,"時間: 預計每年7月舉辦。
預算: 每人補助金額限制在新台幣4,000元，實際金額以限額內為主。
實施辦法:
- 由人事總務單位負責提報計劃並執行。
- 已於當年度1/1前報到之正職員工，公司全額負擔預算內的費用；員工眷屬的費用則由員工自行負擔。
- 上述補助金額將依據我國稅法規定，於給付時列入員工個人年度薪資所得。如需代扣二代健保費用，將根據規定從該年度薪資中代為扣繳。"
員工福利規範,員工年度教育訓練補助,"目的: 培養人力資本並提升員工技能。
預算及辦法: 適用資格及相關規定將依照教育訓練管理辦法為主。"
員工福利規範,國外員工旅遊,"預算: 舉凡公司正職(含試用期)員工均可視工作情況自行安排國外旅遊，通過單位主管核准後，每人依職等給予不同補助金額及最多 7 個工作日之旅遊假。
實施辦法: 適用資格及相關辦法依每年公告為準。
- 符合當年度公告之旅遊辦法資格之員工，每年均可使用一次申請機會，未提出申請或無請領憑證資料者則視為自動放棄，公司不另做任何補助。
- 旅遊假申請應經過主管同意，未確實完成程序者，公司將有權不予提供補助。
- 補助金額依我國稅法規定，將於給付時列入員工個人年度薪資所得。如需代扣二代健保，將依規定自該年度薪資中代為扣繳。"
員工福利規範,三節禮金,"時間：端午節、中秋節及春節。
預算：端午節、中秋節禮金金額為0.5個月薪資，春節為1個月薪資，新進人員到職首年依比例計算後未滿2,000元者則以2,000元計。
實施辦法：
- 端午節、中秋節禮金由人事單位於該節日前一週負責向財務單位請款，計算截止點為節日前一天並於端午節、中秋節前一工作日發放。
- 春節年終獎金由人事單位於春節假前二週彙整詳細資料後向財務單位請款，計算截止點為前一年度12/31，並於春節假前一天發放。
- 前項補助金額依我國稅法規定，將於給付時列入員工個人年度薪資所得。如需代扣二代健保，將依規定自該年度薪資中代為扣繳。"
員工福利規範,年終尾牙,"時間：每年農曆12月份擇期舉辦。
預算：每年依主辦單位訂定。
實施辦法：
- 舉凡公司員工均可參加。
- 由主辦單位負責提報計劃及執行。
- 參與摸彩資格依主辦單位每年公佈之辦法實施。"
員工福利規範,玉山主峰登頂補助,"補助內容：最多兩個工作日之假期及團費。
規定及實施辦法：
- 正職(含試用期)員工均可參加，於任職期間可補助一次，若活動日發生於離職後，將不予補助。
- 活動成立之員工人數須二位(含)以上。
- 補助金申請須具備正式憑證(團費收據)，申請人需於假期結束後三個工作日內送至人事總務單位補證作業，當月25號(含)以前繳交憑證，將於次月收到補助款，當月25號以後繳交則於下下個月收到補助款。
- 前項補助金額依我國稅法規定，將於給付時列入員工個人年度薪資所得。如需代扣二代健保，將依規定自該年度薪資中代為扣繳。"
員工福利規範,員工子女助學補助,"目的: 關心本公司員工親子家庭生活，推廣華德福教育理念，鼓勵員工重視孩子的成長及教育。
申請人條件:
- 本公司之正職(含試用期)員工。
- 若夫妻皆為本公司員工，限擇一人代表申請。
補助對象: 員工於國內華德福教育體系學校(下稱華德福學校)中就讀之在學子女。
補助金額: 申請人得於每學期向公司申請每一在學子女最高新台幣伍萬元之學雜費助學補助金，實際學雜費低於新台幣伍萬元則實報實銷。
實施辦法
- 申請人欲申請補助，應持註冊單收據或具同等效力之憑證，向本公司申請學雜費補助，由會計單位將補助款匯入申請人薪資所得帳戶。
- 前項補助金額依我國稅法規定，將於給付時列入員工個人年度薪資所得。如需代扣二代健保，將依規定自該年度薪資中代為扣繳。
- 員工為配合華德福學校舉辦之活動而須於上班時間遲到早退者，公司准予請外出假。
- 本辦法生效後，若有未盡事宜得提報管理部專案處理。"
員工福利規範,員工福儲信託,"目的：為鼓勵員工長期儲蓄與培養理財知識，進而提高未來生活品質。
申請人條件：本公司通過試用期之正職員工。
實施辦法：適用資格及相關辦法依弈樂科技員工儲蓄會章程為準。
前項補助金額依我國稅法規定，將於給付時列入員工個人年度薪資所得。如需代扣二代健保，將依規定自該年度薪資中代為扣繳。"
員工福利規範,員工育兒津貼,"申請人條件：以下條件須均符合，方得提出申請。
- 本公司通過試用期之正職員工。
- 育有 0-6 足歲之子女。
- 若夫妻皆為本公司員工，限擇一人代表申請。
補助對象：符合申請人條件員工的 0~6 足歲之子女。
規定及實施辦法：
- 本津貼為申請制，凡有新生兒出生應主動申請，如申請日期為當月薪資結算日(含)前，當月開始全額補助，不破月計算；若於薪資結算日後提出申請，將於次月開始全額補助，不破月計算。
- 申請文件：育兒補助申請表。
- 育兒津貼金額：每名子女申請人每月補助 5,000 元。
- 凡子女達 6 足歲將逕行停止補助，不另做通知。
- 申請離職者，補助至最後工作日當月。
- 除申請育嬰留職停薪之正職員工外，其餘留職停薪之員工，公司將逕行停止補助，不另做通知。
- 本津貼將併同薪資發放。
- 前項補助金額依我國稅法規定，將於給付時列入員工個人年度薪資所得；如需代扣二代健保，將依規定自該年度薪資中代扣繳款。"
